"word","estimate"
"public_and",0.01516116
"took_of",0.01079185
"took_in",0.00863239
"took_i",0.00854536
"lost_to",0.01886259
"lost_a",0.01605355
"lost_of",0.01323784
"yeah_the",0.02974611
"yeah_to",0.01731718
"yeah_and",0.01488531
"face_to",0.02030527
"face_in",0.01139882
"face_i",0.01128389
"american_to",0.02058606
"american_and",0.01769513
"american_a",0.01752036
"myself_to",0.0200068
"myself_a",0.01702737
"myself_of",0.01404085
"under_to",0.01681375
"under_and",0.01445257
"under_of",0.01179995
"mean_and",0.01624926
"mean_of",0.01326688
"mean_in",0.01061217
"early_the",0.03264094
"early_and",0.01633392
"early_a",0.01617259
"u.s_a",0.0087059
"u.s_of",0.00717893
"u.s_in",0.00574242
"less_the",0.02915762
"less_and",0.01459082
"less_in",0.00952906
"market_the",0.03563847
"market_of",0.01456069
"market_in",0.01164709
"street_the",0.03230805
"street_to",0.01880866
"street_a",0.01600765
"he's_to",0.01572662
"he's_and",0.01351811
"he's_of",0.01103701
"percent_the",0.02592763
"percent_a",0.01284635
"percent_in",0.00847346
"using_to",0.01616401
"using_and",0.01389407
"using_of",0.01134396
"taking_to",0.01553892
"taking_and",0.01335677
"taking_of",0.01090527
"tomorrow_the",0.03299805
"tomorrow_to",0.01921035
"tomorrow_a",0.01634952
"didnt_the",0.02974848
"didnt_to",0.01731856
"didnt_and",0.01488649
"monday_the",0.03351348
"monday_a",0.01660491
"monday_of",0.01369249
"tuesday_to",0.01526307
"tuesday_and",0.01311966
"tuesday_a",0.01299008
"soon_the",0.03605142
"soon_and",0.01804056
"soon_a",0.01786238
"course_to",0.02305507
"course_a",0.01962168
"course_that",0.00906871
"played_the",0.02560808
"played_and",0.01281459
"played_of",0.01046261
"buy_to",0.01718807
"buy_of",0.01206265
"buy_i",0.00955163
"started_and",0.01157193
"started_a",0.01145764
"started_of",0.00944803
"almost_the",0.02660553
"almost_to",0.01548885
"almost_and",0.01331373
"old_the",0.03157671
"old_and",0.01580136
"old_a",0.0156453
"player_the",0.02938557
"player_to",0.01710729
"player_a",0.01455965
"power_a",0.0168222
"power_in",0.01109594
"power_i",0.01098407
"games_to",0.01727872
"games_a",0.01470555
"games_of",0.01212627
"reason_and",0.01007867
"reason_a",0.00997913
"reason_you",0.00429276
"wanted_and",0.00677408
"wanted_of",0.00553077
"wanted_in",0.00442406
"company_the",0.03259301
"company_to",0.01897455
"company_a",0.01614884
"wednesday_to",0.02053928
"wednesday_and",0.01765492
"wednesday_a",0.01748055
"guys_the",0.03252315
"guys_to",0.01893389
"guys_and",0.01627497
"including_and",0.01409331
"including_of",0.01150663
"including_in",0.00920415
"change_to",0.01696232
"change_and",0.01458027
"change_a",0.01443627
"move_and",0.0148
"move_of",0.01208362
"move_in",0.00966568
"head_to",0.01844426
"head_a",0.01569752
"head_i",0.01024971
"spring_to",0.01915246
"spring_and",0.01646285
"spring_a",0.01630025
"class_the",0.03473515
"class_to",0.02022163
"class_in",0.01135187
"number_the",0.01849315
"number_to",0.01076609
"number_and",0.0092542
"red_the",0.03289483
"red_to",0.01915027
"red_and",0.01646097
"else_a",0.01905592
"else_of",0.01571361
"else_for",0.00864883
"thats_to",0.01611195
"thats_and",0.01384933
"thats_of",0.01130743
"others_the",0.03010756
"others_a",0.01491737
"others_in",0.00983952
"college_to",0.01892098
"college_a",0.01610325
"college_in",0.01062172
"often_to",0.02195472
"often_of",0.01540791
"often_in",0.01232478
"april_to",0.02104896
"april_in",0.01181631
"april_i",0.01169717
"ago_to",0.01793347
"ago_and",0.01541505
"ago_a",0.0152628
"fire_the",0.03352387
"fire_to",0.01951647
"fire_i",0.01084555
"important_and",0.0165596
"important_a",0.01639604
