"word","count","disc_count","fw_count","estimate","leftover_prob","beta"
"strong_hatred",1,0.3,19,0.015789474,0.7,0.85
"hatred_in",1,0.3,2,0.15,0.7,0.984688139912413
"this_coountry",1,0.3,563,0.00053286,0.7,0.7
"coountry_king",1,0.3,1,0.3,0.7,0.966666664
"king_acted",1,0.3,9,0.033333333,0.7,0.85
"acted_on",1,0.3,2,0.15,0.7,0.932911254339471
"a_petition",1,0.3,2406,0.000124688,0.7,0.7
"petition_by",1,0.3,1,0.3,0.7,0.995517283137931
"david_holloway",1,0.3,15,0.02,0.7,0.85
"holloway_to",1,0.3,2,0.15,0.7,0.98397615215069
"the_missing",1,0.3,4856,0.0000617792,0.7,0.976923076307692
"missing_18-year-old",1,0.3,13,0.023076923,0.7,0.85
"18-year-old_declared",1,0.3,2,0.15,0.7,0.7
"declared_dead",1,0.3,1,0.3,0.7,0.98
"dead_the",1,0.3,15,0.02,0.7,0.998496638205601
"city's_new",1,0.3,9,0.033333333,0.7,0.998369586173913
"new_fire",1,0.3,184,0.001630435,0.7,0.988888886222222
"fire_boat",1,0.3,27,0.011111111,0.7,0.94
"boat_will",1,0.3,5,0.06,0.7,0.738050280937107
"display_nick",1,0.3,5,0.06,0.7,0.925
"nick_pooed",1,0.3,4,0.075,0.7,0.7
"pooed_i",1,0.3,1,0.3,0.7,0.999172462441757
"ask_let",1,0.3,23,0.013043478,0.7,0.6675
"old_magazines",1,0.3,28,0.010714286,0.7,0.85
"magazines_donation",1,0.3,2,0.15,0.7,0.85
"donation_i've",1,0.3,2,0.15,0.7,0.9675
"some_too",1,0.3,212,0.001415094,0.7,0.997619014666667
"too_for",1,0.3,126,0.002380952,0.7,0.997618946897436
"those_keep",1,0.3,88,0.003409091,0.7,0.994444456777778
"keep_asking",1,0.3,54,0.005555556,0.7,0.97
"asking_its",1,0.3,10,0.03,0.7,0.99848491669697
"its_true",1,0.3,198,0.001515152,0.7,0.943478255782609
"did_interview",1,0.3,110,0.002727273,0.7,0.972727270363636
"interview_sir",1,0.3,11,0.027272727,0.7,0.85
